ID,Text_lang,RelationshipFlags,EmotesTextID
438,Вы застенчиво улыбаетесь |3-2(%s).,2,84
439,%s смущенно улыбается.,4,84
440,Вы застенчиво улыбаетесь.,6,84
441,"%s вздыхает, глядя на |3-3(%s).",0,85
442,"%s вздыхает, глядя на вас.",1,85
443,"Вы вздыхаете, глядя на |3-3(%s).",2,85
444,"%s испускает долгий, усталый вздох.",4,85
445,"Вы испускаете долгий, усталый вздох.",6,85
446,,4,86
447,,6,86
448,%s засыпает. Хррррррр.,4,87
449,Вы засыпаете. Хррррр...,6,87
450,%s скалится и ворчит на |3-3(%s).,0,88
451,%s скалится и ворчит на вас.,1,88
452,Вы скалитесь и ворчите на |3-3(%s).,2,88
453,%s скалится и рычит.,4,88
454,Вы скалитесь и ворчите.,6,88
455,%s скалится и рычит на |3-3(%s).,8,88
456,%s скалится и рычит на вас.,9,88
457,%s скалится и ворчит.,12,88
458,%s плюет в |3-3(%s).,0,89
459,%s плюет в вас.,1,89
460,Вы плюете в |3-3(%s).,2,89
461,%s плюет на пол.,4,89
462,Вы плюете на землю.,6,89
463,%s меряет взглядом |3-3(%s).,0,90
464,%s меряет вас взглядом.,1,90
465,Вы меряете взглядом |3-3(%s).,2,90
466,%s смотрит куда-то вдаль.,4,90
467,Вы пристально смотрите вдаль.,6,90
468,%s в недоумении от действий |3-1(%s).,0,91
469,|3-3(%s) удивляют ваши действия.,1,91
470,Вы удивлены действиями |3-1(%s).,2,91
471,%s в таком удивлении!,4,91
472,Вы так удивлены!,6,91
473,%s сдается |3-2(%s). Тяжела горечь поражения...,0,92
474,%s сдается вам. Тяжела горечь поражения...,1,92
475,Вы сдаетесь |3-2(%s). Тяжела горечь поражения...,2,92
476,%s сдается на милость победителей.,4,92
477,Вы сдаетесь на милость победителей.,6,92
478,%s сдается на милость победителей.,12,92
479,%s хочет поговорить о делах с |3-4(%s).,0,93
480,%s хочет обсудить ситуацию с вами.,1,93
481,Вы хотите обсудить дела с |3-4(%s).,2,93
482,%s разговаривает сам с собой. Остальным неинтересно...,4,93
483,"Вы разговариваете сами с собой, поскольку остальные вас не слушают.",6,93
484,"%s разговаривает сама с собой, поскольку остальные не слушают.",12,93
485,%s оживленно разговаривает с |3-4(%s).,0,94
486,%s возбужденно разговаривает с вами.,1,94
487,Вы возбужденно разговариваете с |3-4(%s).,2,94
488,%s возбужденно разговаривает со всеми вокруг.,4,94
489,Вы возбужденно говорите со всеми вокруг.,6,94
490,%s спрашивает |3-3(%s).,0,95
491,%s спрашивает вас.,1,95
492,Вы спрашиваете |3-3(%s).,2,95
493,%s хочет познать смысл жизни.,4,95
494,Вы хотите познать смысл жизни.,6,95
495,%s притопывает ногой в ожидании |3-1(%s).,0,96
496,%s притопывает ногой в ожидании вас.,1,96
497,Вы притопываете ногой в ожидании |3-1(%s).,2,96
498,"%s притопывает ногой. Ну, побыстрее!",4,96
499,"Вы притопываете ногой. Ну, быстрее же!",6,96
500,%s притопывает ногой в ожидании |3-1(%s).,8,96
501,%s притопывает ногой в ожидании вас.,9,96
502,%s притопывает ногой. Ну побыстрее!,12,96
503,%s благодарит |3-3(%s).,0,97
504,%s благодарит вас.,1,97
505,Вы благодарите |3-3(%s).,2,97
506,%s благодарит всех.,4,97
507,Вы благодарите всех.,6,97
508,%s угрожает |3-2(%s) гневом судьбы.,0,98
509,%s пророчит вам кару небесную.,1,98
510,Вы пророчите |3-2(%s) кару небесную.,2,98
511,%s пророчит всем кару небесную.,4,98
512,Вы пророчите всем кару небесную.,6,98
513,"%s показывает |3-2(%s), что он устал.",0,99
514,"%s показывает вам, что устал.",1,99
515,"Вы показываете |3-2(%s), что устали.",2,99
516,"%s показывает всем, что он устал.",4,99
517,"Вы показываете всем, что устали.",6,99
518,"%s показывает |3-2(%s), что она устала.",8,99
519,"%s показывает вам, что она устала.",9,99
520,"%s показывает всем, что она устала.",12,99
521,%s упивается славой вместе с |3-4(%s).,0,100
522,%s вместе с вами упивается победой.,1,100
523,Вы упиваетесь славой вместе с |3-4(%s).,2,100
524,%s упивается победой.,4,100
525,Вы упиваетесь победой.,6,100
526,%s машет рукой |3-2(%s).,0,101
527,%s машет вам рукой.,1,101
528,Вы машете рукой |3-2(%s).,2,101
529,%s машет рукой.,4,101
530,Вы машете рукой.,6,101
531,"%s говорит |3-3(%s): ""Не стоит благодарности!""",0,102
532,"%s говорит вам: ""Не стоит благодарности!""""",1,102
533,"Вы говорите |3-2(%s): ""Не стоит благодарности!""",2,102
534,"%s уверяет всех, что это был сущий пустяк.",4,102
535,"Вы уверяете всех, что это был сущий пустяк.",6,102
536,%s жалобно скулит перед |3-4(%s).,0,103
537,%s жалобно скулит перед вами.,1,103
538,Вы жалобно скулите перед |3-4(%s)s.,2,103
539,%s жалобно скулит.,4,103
540,Вы жалобно скулите.,6,103
541,%s свистит |3-2(%s).,0,104
542,%s свистит вам.,1,104
543,Вы свистите |3-2(%s).,2,104
544,%s пронзительно свистит.,4,104
545,Вы пронзительно свистите.,6,104
546,%s работает с |3-4(%s).,0,105
547,%s работает с вами.,1,105
548,Вы работаете с |3-4(%s).,2,105
549,%s начинает работать.,4,105
550,Вы приступаете к работе.,6,105
551,"%s сонно зевает, глядя на |3-3(%s).",0,106
552,%s лениво зевает вам в лицо.,1,106
553,"Вы лениво зеваете, глядя на |3-3(%s).",2,106
554,%s сонно зевает.,4,106
555,Вы сонно зеваете.,6,106
556,%s изумленно смотрит на |3-3(%s).,0,107
557,%s изумленно смотрит на вас.,1,107
558,Вы изумленно смотрите на |3-3(%s).,2,107
559,%s разводит руками в замешательстве.,4,107
560,"Вы не знаете, что делать в этой ситуации.",6,107
561,%s пытается успокоить |3-3(%s).,0,108
562,%s пытается вас успокоить.,1,108
563,Вы пытаетесь успокоить |3-3(%s).,2,108
564,%s сохраняет спокойствие.,4,108
565,Вы сохраняете спокойствие.,6,108
566,"%s показывает |3-2(%s), что ему холодно.",0,109
567,"%s показывает вам, что ему холодно.",1,109
568,"Вы показываете |3-2(%s), что вы замерзли.",2,109
569,"%s показывает всем, что ему холодно.",4,109
570,"Вы показываете всем, что вам холодно.",6,109
571,"%s показывает |3-2(%s), что ей холодно.",8,109
572,"%s показывает вам, что ей холодно.",9,109
573,"%s показывает всем, что ей холодно.",12,109
574,%s утешает |3-3(%s).,0,110
575,%s утешает вас.,1,110
576,Вы утешаете |3-3(%s).,2,110
577,%s нуждается в утешении.,4,110
578,Вы нуждаетесь в утешении.,6,110
579,%s прижимается к |3-2(%s).,0,111
580,%s прижимается к вам.,1,111
581,Вы прижимаетесь к |3-2(%s).,2,111
582,%s хочет ласки.,4,111
583,Вам хочется ласки.,6,111
584,%s прячется за спину |3-1(%s).,0,112
585,%s прячется за вашу спину.,1,112
586,Вы прячетесь за спину |3-1(%s).,2,112
587,%s ищет укрытие.,4,112
588,Вы ищете укрытие.,6,112
589,"%s думает, что %s – отродье пьяного огра.",0,113
590,"%s думает, что вы – отродье пьяного огра.",1,113
591,"Вы думаете, что %s – отродье пьяного огра.",2,113
592,"%s думает, что все вокруг него – отродья пьяного огра.",4,113
593,"Вы думаете, что все вокруг отродья пьяного огра.",6,113
594,"%s думает, что все вокруг – отродья пьяного огра.",12,113
595,%s представляется |3-2(%s).,0,114
596,%s представляется вам.,1,114
597,Вы представляетесь |3-2(%s).,2,114
598,%s представляется всем.,4,114
599,Вы представляетесь всем.,6,114
600,%s представляется |3-2(%s).,8,114
601,%s представляется вам.,9,114
602,%s представляется всем.,12,114
603,"%s показывает |3-2(%s), что это была всего лишь шутка!",0,115
604,"%s показывает вам, что он всего лишь пошутил!",1,115
605,"Вы показываете |3-2(%s), что это просто шутка!",2,115
606,%s просто шутит!,4,115
607,Вы просто пошутили!,6,115
608,"%s дает понять |3-2(%s), что это была всего лишь шутка!",8,115
609,"%s показывает, что просто пошутила!",9,115
610,%s облизывает |3-3(%s).,0,116
611,%s облизывает вас.,1,116
612,Вы облизываете |3-3(%s).,2,116
613,%s облизывается.,4,116
614,Вы облизываетесь.,6,116
615,%s облизывается.,12,116
616,%s внимательно слушает |3-3(%s).,0,117
617,%s внимательно слушает вас.,1,117
618,Вы внимательно слушаете |3-3(%s).,2,117
619,%s слушает!,4,117
620,Вы прислушиваетесь.,6,117
621,"%s хочет показать |3-2(%s), что он в полном недоумении.",0,118
622,"%s хочет показать вам, что он в полной растерянности.",1,118
623,"Вы хотите показать |3-2(%s), что вы в полной растерянности.",2,118
624,%s в полном недоумении.,4,118
625,Вы в полном недоумении.,6,118
626,"%s хочет объяснить |3-2(%s), что она в полном недоумении.",8,118
627,"%s хочет показать вам, что она в полной растерянности.",9,118
628,%s смеется над глупостью |3-1(%s).,0,119
629,%s смеется над вашей глупостью.,1,119
630,Вы смеетесь над глупостью |3-1(%s).,2,119
631,"%s высмеивает жизнь и все, что с ней связано.",4,119
632,"Вы высмеиваете жизнь и все, что с ней связано.",6,119
633,%s обдумывает действия |3-1(%s).,0,120
634,%s обдумывает ваши действия.,1,120
635,Вы обдумываете действия |3-1(%s).,2,120
636,%s обдумывает ситуацию.,4,120
637,Вы обдумываете ситуацию.,6,120
638,%s бросается на |3-3(%s).,0,121
639,%s бросается на вас.,1,121
640,Вы бросаетесь на |3-3(%s).,2,121
641,%s внезапно выскакивает из теней.,4,121
642,Вы выскакиваете из теней.,6,121
643,%s превозносит |3-3(%s).,0,122
644,%s восхваляет вас.,1,122
645,Вы превозносите |3-3(%s).,2,122
646,%s возносит хвалу Свету.,4,122
647,Вы возносите хвалу Свету.,6,122
648,%s мурлычет |3-2(%s).,0,123
649,%s мурлычет вам.,1,123
650,Вы мурлычете |3-2(%s).,2,123
651,"%s мурлычет, как котенок.",4,123
652,"Вы мурлычете, как котенок.",6,123
653,%s не понимает |3-3(%s).,0,124
654,%s недоумевает. Что вы делаете?,1,124
655,Вы озадачены поведением |3-1(%s).,2,124
656,%s в недоумении. Что тут происходит?,4,124
657,Вы озадачены. Что тут происходит?,6,124
658,%s смотрит на |3-3(%s) и поднимает руку.,0,125
659,%s смотрит на вас и поднимает руку.,1,125
660,Вы смотрите на |3-3(%s) и поднимаете руку.,2,125
661,%s поднимает руку.,4,125
662,Вы поднимаете руку.,6,125
663,%s смотрит на |3-3(%s) и поднимает руку.,8,125
664,%s смотрит на вас и поднимает руку.,9,125
665,%s поднимает руку.,12,125
666,"%s показывает |3-2(%s), что готов!",0,126
667,"%s показывает вам, что готов!",1,126
668,"Вы показываете |3-2(%s), что вы готовы!",2,126
669,"%s показывает всем, что он готов!",4,126
670,"Вы показываете всем, что готовы!",6,126
671,"%s показывает вам, что готова!",9,126
672,"%s показывает всем, что готова!",12,126
673,%s танцует перед |3-4(%s).,0,127
674,%s танцует перед вами.,1,127
675,Вы танцуете перед |3-4(%s).,2,127
676,%s танцует перед толпой.,4,127
677,Вы танцуете перед толпой.,6,127
678,%s дрожит под боком у |3-1(%s). Холодно!,0,128
679,%s дрожит у вас под боком. Холодно!,1,128
680,Вы дрожите рядом с |3-4(%s). Холодно!,2,128
681,%s зябко дрожит. Холодно!,4,128
682,Вы зябко дрожите. Холодно!,6,128
683,%s зябко дрожит. Холодно!,12,128
684,"%s отгоняет |3-3(%s). Сгинь, зараза!",0,129
685,"%s отгоняет вас. Сгинь, зараза!",1,129
686,"Вы отгоняете |3-3(%s). Сгинь, зараза!",2,129
687,%s отгоняет мерзких тварей.,4,129
688,Вы отгоняете мерзких тварей.,6,129
689,%s дает пощечину |3-2(%s). Ох!,0,130
690,%s дает вам пощечину. Ой!,1,130
691,Вы даете пощечину |3-2(%s). Ох!,2,130
692,%s бьет себя по лицу. Ой!,4,130
693,Вы бьете себя по лицу! Ох!,6,130
694,%s бьет себя по лицу. Ой!,12,130
695,%s хитро улыбается |3-2(%s).,0,131
696,%s хитро улыбается вам.,1,131
697,Вы хитро ухмыляетесь |3-2(%s).,2,131
698,На лице |3-1(%s) появляется хитрая усмешка.,4,131
699,На вашем лице появляется хитрая усмешка.,6,131
700,%s обнюхивает |3-3(%s).,0,132
701,%s обнюхивает вас.,1,132
702,Вы обнюхиваете |3-3(%s).,2,132
703,%s нюхает воздух.,4,132
704,Вы нюхаете воздух.,6,132
705,%s нюхает вохдух.,12,132
706,%s бранит |3-3(%s).,0,133
707,%s бранит вас.,1,133
708,Вы браните |3-3(%s).,2,133
709,%s пренебрежительно выговаривает окружающим его плебеям.,4,133
710,Вы пренебрежительно выговариваете окружающим вас плебеям.,6,133
711,%s пренебрежительно выговаривает окружающим ее плебеям.,12,133
712,"%s утешает |3-3(%s). Ну-ну, все будет хорошо...",0,134
713,"%s утешает вас. Ну-ну, все будет хорошо...",1,134
714,"Вы утешаете |3-3(%s). Ну-ну, все будет хорошо...",2,134
715,%s нуждается в утешении.,4,134
716,Вам нужно утешение.,6,134
717,"%s обнюхивает |3-3(%s). Ууу, чем это воняет?!",0,135
718,%s чует вас. А это еще что за вонь?!,1,135
719,"Вы обнюхиваете |3-3(%s). Ууу, чем это воняет?!",2,135
720,"%s нюхает воздух. Ууу, чем это воняет?!",4,135
721,Вы нюхаете воздух. Кем это воняет?,6,135
722,"%s принюхивается. Ууу, чем это воняет?!",12,135
723,"%s глумливо дразнит |3-3(%s). Ну, давай!",0,136
724,"%s глумливо поддразнивает вас. Ну, давай!",1,136
725,"Вы глумливо поддразниваете |3-3(%s). Ну, давай!",2,136
726,"%s глумливо поддразнивает всех вокруг. Ну, давайте, дураки!",4,136
727,"Вы глумливо поддразниваете всех. Давайте, дураки!",6,136
728,"%s глумливо поддразнивает всех. Давайте, дураки!",12,136
729,%s дразнит |3-3(%s).,0,137
730,%s дразнит вас.,1,137
731,Вы дразните |3-3(%s).,2,137
732,%s – такая язва!,4,137
733,Вы такая язва!,6,137
734,"%s показывает |3-2(%s), что хочет пить. Дадите глоточек?",0,138
735,"%s показывает вам, что хочет пить. Дадите глоточек?",1,138
736,"Вы показываетете |3-2(%s), что хотите пить. Дадите глоточек?",2,138
737,%s очень хочет пить. Никто не даст глоточек?,4,138
738,Вам так хочется пить. Никто не даст глоточек?,6,138
739,"%s показывает |3-2(%s), что хочет пить. Не дадите глоточек?",8,138
740,"%s показывает вам, что хочет пить. Дадите глоточек?",9,138
741,%s запрещает |3-2(%s) двигаться.,0,139
742,%s запрещает вам двигаться.,1,139
743,Вы запрещаете |3-2(%s) двигаться.,2,139
744,%s запрещает всем двигаться.,4,139
745,Вы запрещаете всем двигаться.,6,139
746,"%s давится от смеха, глядя на |3-3(%s).",0,140
747,%s смеется про себя над вами.,1,140
748,"Вы давитесь от смеха, глядя на |3-3(%s).",2,140
749,%s молча давится от смеха.,4,140
750,Вы молча давитесь от смеха.,6,140
751,%s молча давится от смеха.,12,140
752,%s щекочет |3-3(%s). Хи-хи!,0,142
753,%s щекочет вас. Хи-хи!,1,142
754,Вы щекочете |3-3(%s). Хи-хи!,2,142
755,%s желает щекотки. Хи-хи!,4,142
756,"Вы хотите, чтобы вас пощекотали. Хи-хи!",6,142
757,%s играет для |3-1(%s) на маленькой скрипочке.,0,143
758,%s играет для вас на маленькой скрипочке.,1,143
759,Вы играете на маленькой скрипочке для |3-1(%s).,2,143
760,%s начинает играть на маленькой скрипочке.,4,143
761,Вы начинаете играть на маленькой скрипочке.,6,143
762,%s улыбается |3-2(%s).,0,163
763,%s улыбается вам.,1,163
764,Вы улыбаетесь |3-2(%s).,2,163
765,%s улыбается.,4,163
766,Вы улыбаетесь.,6,163
777,"%s показывает |3-2(%s), что она готова!",8,126
778,%s делает неприличный жест в сторону |3-1(%s).,0,183
779,%s делает в вашу сторону неприличный жест.,1,183
780,Вы делаете неприличный жест в сторону |3-1(%s).,2,183
781,%s делает неприличный жест.,4,183
782,Вы делаете неприличный жест.,6,183
797,%s с жалостью взирает на |3-3(%s).,0,203
798,%s меряет вас полным жалости взглядом.,1,203
799,Вы с жалостью взираете на |3-3(%s).,2,203
800,%s жалеет окружающих.,4,203
801,%s жалеет окружающих.,12,203
802,Вы жалеете окружающих.,6,203
803,%s угрожающе рычит на |3-3(%s).,0,204
804,%s угрожающе рычит на вас.,1,204
805,Вы угрожающе рычите на |3-3(%s).,2,204
806,%s угрожающе рычит.,4,204
807,Вы угрожающе рычите.,6,204
808,%s рявкает на |3-3(%s).,0,205
809,%s рявкает на вас.,1,205
810,Вы рявкаете на |3-3(%s).,2,205
811,%s лает. Гав-гав!,4,205
812,Вы лаете. Гав-гав!,6,205
817,%s пугается |3-1(%s).,0,223
818,%s пугается вас.,1,223
819,Вы пугаетесь |3-1(%s).,2,223
820,%s в испуге!,4,223
821,Вы испуганы!,6,223
822,%s беспомощно суетится вокруг |3-1(%s).,0,224
823,%s беспомощно суетится вокруг вас.,1,224
824,Вы беспомощно суетитесь вокруг |3-1(%s).,2,224
825,%s беспомощно суетится.,4,224
826,Вы беспомощно суетитесь.,6,224
827,%s любит |3-3(%s).,0,225
828,%s любит вас.,1,225
829,Вы любите |3-3(%s).,2,225
830,%s ощущает любовь.,4,225
831,Вы чувствуете любовь.,6,225
832,%s мычит на |3-3(%s). Муууууууу!,0,226
833,%s мычит на вас. Муууууууу!,1,226
834,Вы мычите на |3-3(%s). Мууууууу!,2,226
835,%s мычит. Муууууууу!,4,226
836,Муууууууууу!,6,226
837,%s хвалит |3-3(%s) за хорошую работу.,0,243
838,%s благодарит вас за хорошую работу.,1,243
839,Вы хвалите |3-3(%s) за хорошую работу.,2,243
840,%s хвалит всех за хорошую работу.,4,243
841,Вы благодарите всех за хорошую работу.,6,243
862,,0,303
863,,1,303
864,,2,303
865,%s зовет на помощь!,4,303
866,Вы зовете на помощь!,6,303
867,,0,304
868,,1,304
869,,2,304
870,"%s кричит, что враги идут!",4,304
871,"Вы кричите, что враги идут!",6,304
872,,0,305
873,,1,305
874,,2,305
875,%s идет в атаку.,4,305
876,Вы идете в атаку.,6,305
877,"%s кричит |3-2(%s): ""Беги!""",0,306
878,"%s кричит, чтобы вы убегали!",1,306
879,"Вы кричите |3-2(%s): ""Беги!""",2,306
880,"%s кричит, чтобы все убегали!",4,306
881,"Вы кричите, чтобы все убегали!",6,306
882,%s велит вам атаковать |3-3(%s).,0,307
883,%s велит всем атаковать вас.,1,307
884,Вы велите всем атаковать |3-3(%s).,2,307
885,%s велит вам атаковать кого-нибудь.,4,307
886,Вы приказываете всем идти в атаку.,6,307
887,"%s предупреждает, что мана на исходе.",4,323
888,"Вы заявляете, что у вас кончается мана.",6,323
889,%s жестом велит |3-2(%s) следовать за собой.,0,324
890,%s жестом велит вам следовать за собой.,1,324
891,Вы жестом велите |3-2(%s) следовать за вами.,2,324
892,%s жестом велит вам следовать за собой.,4,324
893,Вы жестом велите всем следовать за вами.,6,324
894,%s просит |3-3(%s) подождать.,0,325
895,%s просит вас подождать.,1,325
896,Вы просите |3-3(%s) подождать.,2,325
897,%s просит вас подождать.,4,325
898,Вы просите всех подождать.,6,325
899,%s зовет лекаря!,4,326
900,Вы зовете лекаря!,6,326
901,%s приказывает вам открыть огонь.,4,327
902,Вы приказываете открыть огонь.,6,327
903,%s флиртует с |3-4(%s).,0,328
904,%s флиртует с вами.,1,328
905,Вы флиртуете с |3-4(%s).,2,328
906,%s флиртует.,4,328
907,Вы флиртуете.,6,328
908,%s рассказывает анекдот |3-2(%s).,0,329
909,%s рассказывает вам анекдот.,1,329
910,Вы рассказываете анекдот |3-2(%s).,2,329
911,%s рассказывает анекдот.,4,329
912,Вы рассказываете анекдот.,6,329
913,%s подчеркнуто равнодушно аплодирует |3-2(%s).,0,343
914,%s равнодушно аплодирует вам.,1,343
915,Вы подчеркнуто равнодушно аплодируете |3-2(%s).,2,343
916,%s вяло аплодирует.,4,343
917,Вы вяло аплодируете.,6,343
918,%s хитро подмигивает |3-2(%s).,0,363
919,%s хитро подмигивает вам.,1,363
920,Вы хитро подмигиваете |3-2(%s).,2,363
921,%s хитро подмигивает.,4,363
922,Вы хитро подмигиваете.,6,363
923,%s ласково гладит |3-3(%s).,0,364
924,%s ласково гладит вас.,1,364
925,Вы ласково гладите |3-3(%s).,2,364
926,|3-3(%s) нужно погладить.,4,364
927,"Вы хотите, чтобы вас погладили.",6,364
